# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Demographics: Age,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Age,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
25-34,"40,271","34,102","100,122",20.82%,3.56,0:04:39,0.00%,0,$0.00 
35-44,"35,430","29,307","74,509",19.20%,3.57,0:04:08,0.00%,0,$0.00 
45-54,"34,590","28,471","73,506",17.82%,3.56,0:04:01,0.00%,0,$0.00 
55-64,"23,881","20,050","53,551",16.50%,3.57,0:04:22,0.00%,0,$0.00 
18-24,"9,976","7,908","21,184",20.88%,3.89,0:05:25,0.00%,0,$0.00 
65+,"5,865","4,852","10,541",18.43%,3.67,0:04:02,0.00%,0,$0.00 
,"150,013","124,690","333,413",19.03%,3.59,0:04:23,0.00%,0,$0.00 
